day,hour,amount,isfraud,type_CASH_OUT,type_TRANSFER,nameorig_C,namedest_C,namedest_M
4,24,412572.5,0,0,0,1,1,0
2,15,1318.24,0,0,0,1,0,1
9,17,231961.01,0,0,0,1,1,0
12,18,10111.19,0,0,0,1,0,1
15,15,342680.23,0,1,0,1,1,0
11,20,1368.9,0,0,0,1,0,1
30,8,1820864.64,1,1,0,1,1,0
14,23,10142.05,0,0,0,1,0,1
11,19,49638.79,0,0,0,1,1,0
9,7,80885.48,1,1,0,1,1,0
13,15,108766.42,0,1,0,1,1,0
17,16,48396.09,0,0,0,1,1,0
6,19,499135.81,0,0,1,1,1,0
2,14,4202.91,0,0,0,1,0,1
30,9,120179.6,0,0,0,1,1,0
1,9,500698.95,0,1,0,1,1,0
5,1,31329.62,1,1,0,1,1,0
9,16,170460.66,0,1,0,1,1,0
10,19,117610.06,0,1,0,1,1,0
8,10,234778.27,0,1,0,1,1,0
12,20,137239.94,0,1,0,1,1,0
7,19,310085.19,0,1,0,1,1,0
11,1,1061482.24,1,1,0,1,1,0
16,17,74520.99,0,0,0,1,1,0
14,11,248623.69,0,1,0,1,1,0
5,10,2708906.59,1,0,1,1,1,0
9,24,272493.05,0,0,0,1,1,0
15,9,127845.72,0,0,0,1,1,0
7,12,75086.91,0,1,0,1,1,0
13,20,97463.54,0,1,0,1,1,0
15,22,1438737.78,1,1,0,1,1,0
16,20,10827.03,0,0,0,1,0,1
16,15,214511.15,0,0,0,1,1,0
18,17,204030.2,1,1,0,1,1,0
17,15,145458.94,1,0,1,1,1,0
15,21,6503.88,0,0,0,1,1,0
7,20,1191399.72,1,1,0,1,1,0
1,15,217178.29,0,0,0,1,1,0
16,14,154594.3,0,1,0,1,1,0
6,10,33855.39,0,0,0,1,0,1
6,15,60646.82,1,0,1,1,1,0
29,22,71729.96,1,1,0,1,1,0
17,18,127156.49,1,1,0,1,1,0
1,17,84976.48,0,0,0,1,1,0
15,11,242160.18,0,1,0,1,1,0
8,14,186065.24,0,0,0,1,1,0
8,18,27242.75,0,0,0,1,0,1
21,18,207261.07,1,0,1,1,1,0
2,11,1730687.28,0,0,1,1,1,0
17,3,1101871.13,1,0,1,1,1,0
2,20,534255.94,1,1,0,1,1,0
31,16,1314660.84,1,0,1,1,1,0
21,1,130668.56,1,1,0,1,1,0
12,20,5266.78,0,0,0,1,0,1
15,15,200.66,0,0,0,1,0,1
11,20,194361.28,0,1,0,1,1,0
14,16,287658.62,0,1,0,1,1,0
17,18,93538.59,0,1,0,1,1,0
17,17,14786.66,0,0,0,1,0,1
23,3,29637.03,1,0,1,1,1,0
23,19,182890.96,0,1,0,1,1,0
1,8,14819.74,0,0,0,1,0,1
6,16,6800.46,0,0,0,1,0,1
9,14,316495.16,0,0,1,1,1,0
1,9,378437.09,0,1,0,1,1,0
1,19,4769.28,0,0,0,1,0,1
23,18,131935.21,0,0,0,1,1,0
17,13,128117.27,0,1,0,1,1,0
14,13,7080.82,0,0,0,1,0,1
1,6,29122.76,0,0,0,1,0,1
12,10,306734.44,0,0,0,1,1,0
28,22,19283.02,0,0,0,1,1,0
6,12,58283.54,0,0,0,1,1,0
11,20,184102.2,0,0,0,1,1,0
11,18,30806.29,0,1,0,1,1,0
8,19,3152.92,0,0,0,1,0,1
1,14,968176.27,0,0,1,1,1,0
6,20,4400457.84,1,1,0,1,1,0
2,23,827921.27,1,0,1,1,1,0
16,18,93865.81,0,1,0,1,1,0
3,20,374178.28,1,1,0,1,1,0
31,18,108240.74,1,0,1,1,1,0
31,21,114149.44,1,1,0,1,1,0
11,12,2387.12,0,0,0,1,0,1
2,17,82806.2,1,1,0,1,1,0
13,12,33256.73,0,0,0,1,0,1
17,19,64754.62,0,1,0,1,1,0
30,18,390763.24,1,0,1,1,1,0
15,17,120597.0,0,1,0,1,1,0
9,20,7754.15,0,0,0,1,0,1
2,18,53469.11,0,1,0,1,1,0
13,12,54403.47,0,0,0,1,0,1
5,10,219489.62,1,0,1,1,1,0
1,14,38440.21,0,1,0,1,1,0
15,22,361877.28,1,1,0,1,1,0
9,9,7603.18,0,0,0,1,0,1
22,14,22048.19,1,1,0,1,1,0
8,14,166323.01,1,1,0,1,1,0
13,22,1463.07,0,0,0,1,0,1
17,20,4203.41,0,0,0,1,0,1
2,9,75789.0,0,0,0,1,1,0
7,11,357306.3,0,1,0,1,1,0
12,1,3929113.14,1,1,0,1,1,0
16,23,13916.67,0,0,0,1,0,1
22,10,48340.79,1,0,1,1,1,0
16,18,26327.97,0,1,0,1,1,0
12,13,53439.08,0,1,0,1,1,0
14,19,85863.23,0,0,0,1,1,0
8,1,19244.9,1,0,1,1,1,0
11,24,187426.99,0,1,0,1,1,0
27,18,12211.44,0,0,0,1,0,1
28,16,84771.55,1,0,1,1,1,0
18,1,2284476.12,1,0,1,1,1,0
24,14,2202575.1,1,1,0,1,1,0
13,15,11790.67,0,1,0,1,1,0
