day,hour,amount,isfraud,type_CASH_OUT,type_TRANSFER,nameorig_C,namedest_C,namedest_M
18,5,438983.45,1,1,0,1,1,0
21,3,7576324.61,1,1,0,1,1,0
8,14,294989.71,1,0,1,1,1,0
21,21,472808.24,1,1,0,1,1,0
2,17,96431.14,0,1,0,1,1,0
13,14,184388.96,0,0,0,1,1,0
2,14,403530.38,0,1,0,1,1,0
24,23,1489916.19,1,0,1,1,1,0
15,11,426815.8,0,0,0,1,1,0
1,19,166703.16,0,1,0,1,1,0
4,5,9039246.82,1,0,1,1,1,0
6,12,156710.18,0,0,0,1,1,0
16,6,769619.59,1,1,0,1,1,0
22,20,232315.43,1,1,0,1,1,0
11,15,327076.21,0,1,0,1,1,0
28,23,36956.27,1,1,0,1,1,0
24,14,92641.52,1,1,0,1,1,0
1,17,3486.99,0,0,0,1,0,1
15,15,153607.08,1,1,0,1,1,0
12,15,10000000.0,1,1,0,1,1,0
15,19,302460.0,0,0,0,1,1,0
8,23,2815.61,1,0,1,1,1,0
16,23,4961093.21,1,0,1,1,1,0
18,5,115085.31,1,1,0,1,1,0
29,16,971133.63,1,0,1,1,1,0
29,12,168303.36,1,0,1,1,1,0
15,13,1398633.34,1,1,0,1,1,0
17,10,185651.93,0,1,0,1,1,0
1,17,203730.83,0,1,0,1,1,0
11,17,6262505.91,1,0,1,1,1,0
7,20,346362.91,0,0,1,1,1,0
15,23,277165.0,0,1,0,1,1,0
12,10,188441.76,1,1,0,1,1,0
7,16,37780.35,0,0,0,1,1,0
1,13,191844.32,0,1,0,1,1,0
10,11,4426.99,0,0,0,1,0,1
9,12,3225.25,0,0,0,1,0,1
11,21,1954854.24,1,0,1,1,1,0
25,24,3455440.17,1,1,0,1,1,0
2,16,212613.29,1,1,0,1,1,0
15,24,261742.96,1,1,0,1,1,0
23,5,1303029.52,1,1,0,1,1,0
1,14,257195.75,0,0,0,1,1,0
8,16,96286.54,1,1,0,1,1,0
21,17,1177100.83,1,1,0,1,1,0
1,18,30672.04,0,1,0,1,1,0
15,12,53950.49,0,0,0,1,1,0
16,7,48774.46,1,1,0,1,1,0
5,24,49571.87,1,0,1,1,1,0
17,9,398285.23,0,0,0,1,1,0
10,9,20377.69,0,0,0,1,0,1
16,17,24152.38,0,1,0,1,1,0
27,10,458603.07,1,1,0,1,1,0
1,1,25071.46,1,1,0,1,1,0
17,22,184588.59,1,0,1,1,1,0
10,12,73776.67,0,0,0,1,1,0
10,12,2939.48,0,0,0,1,0,1
1,6,10565.0,1,1,0,1,1,0
10,21,7506.79,0,0,0,1,0,1
2,10,23334.17,0,1,0,1,1,0
27,22,10000000.0,1,0,1,1,1,0
